Id,MSSubClass,MSZoning,LotArea,LotConfig,BldgType,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,BsmtFinSF2,TotalBsmtSF,SalePrice
0,60,RL,8450,Inside,1Fam,5,2003,2003,VinylSd,0.0,856.0,208500.0
1,20,RL,9600,FR2,1Fam,8,1976,1976,MetalSd,0.0,1262.0,181500.0
2,60,RL,11250,Inside,1Fam,5,2001,2002,VinylSd,0.0,920.0,223500.0
3,70,RL,9550,Corner,1Fam,5,1915,1970,Wd Sdng,0.0,756.0,140000.0
4,60,RL,14260,FR2,1Fam,5,2000,2000,VinylSd,0.0,1145.0,250000.0
5,50,RL,14115,Inside,1Fam,5,1993,1995,VinylSd,0.0,796.0,143000.0
6,20,RL,10084,Inside,1Fam,5,2004,2005,VinylSd,0.0,1686.0,307000.0
7,60,RL,10382,Corner,1Fam,6,1973,1973,HdBoard,32.0,1107.0,200000.0
8,50,RM,6120,Inside,1Fam,5,1931,1950,BrkFace,0.0,952.0,129900.0
9,190,RL,7420,Corner,2fmCon,6,1939,1950,MetalSd,0.0,991.0,118000.0
10,20,RL,11200,Inside,1Fam,5,1965,1965,HdBoard,0.0,1040.0,129500.0
11,60,RL,11924,Inside,1Fam,5,2005,2006,WdShing,0.0,1175.0,345000.0
12,20,RL,12968,Inside,1Fam,6,1962,1962,HdBoard,0.0,912.0,144000.0
13,20,RL,10652,Inside,1Fam,5,2006,2007,VinylSd,0.0,1494.0,279500.0
14,20,RL,10920,Corner,1Fam,5,1960,1960,MetalSd,0.0,1253.0,157000.0
15,45,RM,6120,Corner,1Fam,8,1929,2001,Wd Sdng,0.0,832.0,132000.0
16,20,RL,11241,CulDSac,1Fam,7,1970,1970,Wd Sdng,0.0,1004.0,149000.0
17,90,RL,10791,Inside,Duplex,5,1967,1967,MetalSd,0.0,0.0,90000.0
18,20,RL,13695,Inside,1Fam,5,2004,2004,VinylSd,0.0,1114.0,159000.0
19,20,RL,7560,Inside,1Fam,6,1958,1965,BrkFace,0.0,1029.0,139000.0
20,60,RL,14215,Corner,1Fam,5,2005,2006,VinylSd,0.0,1158.0,325300.0
21,45,RM,7449,Inside,1Fam,7,1930,1950,Wd Sdng,0.0,637.0,139400.0
22,20,RL,9742,Inside,1Fam,5,2002,2002,VinylSd,0.0,1777.0,230000.0
23,120,RM,4224,Inside,TwnhsE,7,1976,1976,CemntBd,0.0,1040.0,129900.0
24,20,RL,8246,Inside,1Fam,8,1968,2001,Plywood,668.0,1060.0,154000.0
25,20,RL,14230,Corner,1Fam,5,2007,2007,VinylSd,0.0,1566.0,256300.0
26,20,RL,7200,Corner,1Fam,7,1951,2000,Wd Sdng,486.0,900.0,134800.0
27,20,RL,11478,Inside,1Fam,5,2007,2008,VinylSd,0.0,1704.0,306000.0
28,20,RL,16321,CulDSac,1Fam,6,1957,1997,MetalSd,0.0,1484.0,207500.0
29,30,RM,6324,Inside,1Fam,6,1927,1950,MetalSd,0.0,520.0,68500.0
30,70,C (all),8500,Inside,1Fam,4,1920,1950,BrkFace,0.0,649.0,40000.0
31,20,RL,8544,CulDSac,1Fam,6,1966,2006,HdBoard,0.0,1228.0,149350.0
32,20,RL,11049,Corner,1Fam,5,2007,2007,VinylSd,0.0,1234.0,179900.0
33,20,RL,10552,Inside,1Fam,5,1959,1959,BrkFace,0.0,1398.0,165500.0
34,120,RL,7313,Inside,TwnhsE,5,2005,2005,MetalSd,0.0,1561.0,277500.0
35,60,RL,13418,Inside,1Fam,5,2004,2005,VinylSd,0.0,1117.0,309000.0
36,20,RL,10859,Corner,1Fam,5,1994,1995,VinylSd,0.0,1097.0,145000.0
37,20,RL,8532,Inside,1Fam,6,1954,1990,Wd Sdng,0.0,1297.0,153000.0
38,20,RL,7922,Inside,1Fam,7,1953,2007,VinylSd,0.0,1057.0,109000.0
39,90,RL,6040,Inside,Duplex,5,1955,1955,AsbShng,0.0,0.0,82000.0
40,20,RL,8658,Inside,1Fam,5,1965,1965,Wd Sdng,0.0,1088.0,160000.0
41,20,RL,16905,Inside,1Fam,6,1959,1959,VinylSd,0.0,1350.0,170000.0
42,85,RL,9180,CulDSac,1Fam,7,1983,1983,HdBoard,93.0,840.0,144000.0
43,20,RL,9200,CulDSac,1Fam,6,1975,1980,VinylSd,491.0,938.0,130250.0
44,20,RL,7945,Inside,1Fam,6,1959,1959,BrkFace,506.0,1150.0,141000.0
45,120,RL,7658,Inside,TwnhsE,5,2005,2005,MetalSd,0.0,1752.0,319900.0
46,50,RL,12822,CulDSac,1Fam,5,2003,2003,VinylSd,0.0,1434.0,239686.0
47,20,FV,11096,Inside,1Fam,5,2006,2006,VinylSd,0.0,1656.0,249700.0
48,190,RM,4456,Inside,2fmCon,5,1920,2008,MetalSd,0.0,736.0,113000.0
49,20,RL,7742,Inside,1Fam,7,1966,1966,HdBoard,0.0,955.0,127000.0
50,60,RL,13869,Corner,1Fam,6,1997,1997,VinylSd,0.0,794.0,177000.0
51,50,RM,6240,Inside,1Fam,6,1934,1950,Wd Sdng,0.0,816.0,114500.0
52,90,RM,8472,Corner,Duplex,5,1963,1963,Wd Sdng,712.0,816.0,110000.0
53,20,RL,50271,Inside,1Fam,5,1981,1987,WdShing,0.0,1842.0,385000.0
54,80,RL,7134,Inside,1Fam,5,1955,1955,MetalSd,0.0,384.0,130000.0
55,20,RL,10175,Inside,1Fam,5,1964,1964,HdBoard,0.0,1425.0,180500.0
56,160,FV,2645,Inside,Twnhs,5,1999,2000,MetalSd,0.0,970.0,172500.0
57,60,RL,11645,Corner,1Fam,5,2004,2004,VinylSd,0.0,860.0,196500.0
58,60,RL,13682,CulDSac,1Fam,5,2006,2006,VinylSd,0.0,1410.0,438780.0
59,20,RL,7200,Inside,1Fam,7,1972,1972,HdBoard,0.0,780.0,124900.0
